dataset,minute,normal,attack_excluding_flood,flood
Intelligent Electronic Device,0,982,0,84808
Intelligent Electronic Device,1,984,0,0
Intelligent Electronic Device,2,982,40,0
Intelligent Electronic Device,3,982,0,0
Intelligent Electronic Device,4,978,914,0
Intelligent Electronic Device,5,982,16,0
Intelligent Electronic Device,6,980,16,0
Intelligent Electronic Device,7,982,40,0
Intelligent Electronic Device,8,980,40,0
Intelligent Electronic Device,9,930,4,0
Intelligent Electronic Device,10,978,0,0
Intelligent Electronic Device,11,982,56,0
Intelligent Electronic Device,12,980,584,0
Intelligent Electronic Device,13,934,400,0
Intelligent Electronic Device,14,980,0,0
Intelligent Electronic Device,15,934,10,0
Intelligent Electronic Device,16,976,0,0
Intelligent Electronic Device,17,982,216,0
Intelligent Electronic Device,18,980,586,0
Intelligent Electronic Device,19,936,238,0
Intelligent Electronic Device,20,979,0,0
Intelligent Electronic Device,21,981,10,0
Intelligent Electronic Device,22,930,0,0
Intelligent Electronic Device,23,980,0,0
Intelligent Electronic Device,24,982,778,0
Intelligent Electronic Device,25,978,152,0
Intelligent Electronic Device,26,982,24,0
Intelligent Electronic Device,27,982,40,0
Intelligent Electronic Device,28,980,36,0
Intelligent Electronic Device,29,934,0,0
Intelligent Electronic Device,30,982,0,0
Intelligent Electronic Device,31,980,40,0
Intelligent Electronic Device,32,982,64,0
Intelligent Electronic Device,33,978,576,0
Intelligent Electronic Device,34,934,200,0
Intelligent Electronic Device,35,980,0,0
Intelligent Electronic Device,36,982,40,0
Intelligent Electronic Device,37,980,10,0
Intelligent Electronic Device,38,928,0,0
Intelligent Electronic Device,39,982,0,0
Intelligent Electronic Device,40,980,32,0
Intelligent Electronic Device,41,980,40,0
Intelligent Electronic Device,42,980,28,0
Intelligent Electronic Device,43,934,0,0
Intelligent Electronic Device,44,980,0,0
Intelligent Electronic Device,45,980,810,0
Intelligent Electronic Device,46,980,120,0
Intelligent Electronic Device,47,980,10,0
Intelligent Electronic Device,48,932,0,0
Intelligent Electronic Device,49,978,490,0
Intelligent Electronic Device,50,982,440,0
Intelligent Electronic Device,51,980,0,0
Intelligent Electronic Device,52,982,40,0
Intelligent Electronic Device,53,982,392,0
Intelligent Electronic Device,54,980,848,0
Intelligent Electronic Device,55,930,0,0
Intelligent Electronic Device,56,982,22,0
Intelligent Electronic Device,57,982,40,0
Intelligent Electronic Device,58,978,38,0
Intelligent Electronic Device,59,936,0,0
Intelligent Electronic Device,60,982,40,0
Intelligent Electronic Device,61,980,0,0
Intelligent Electronic Device,62,976,634,0
Intelligent Electronic Device,63,982,296,0
Intelligent Electronic Device,64,982,0,0
Intelligent Electronic Device,65,978,28,0
Intelligent Electronic Device,66,982,40,0
Intelligent Electronic Device,67,982,32,0
Intelligent Electronic Device,68,930,0,0
Intelligent Electronic Device,69,980,0,0
Intelligent Electronic Device,70,982,424,0
Intelligent Electronic Device,71,982,416,0
Intelligent Electronic Device,72,930,0,0
Intelligent Electronic Device,73,982,10,0
Intelligent Electronic Device,74,930,0,0
Intelligent Electronic Device,75,982,0,0
Intelligent Electronic Device,76,980,34,0
Intelligent Electronic Device,77,980,40,0
Intelligent Electronic Device,78,980,26,0
Intelligent Electronic Device,79,934,0,0
Intelligent Electronic Device,80,980,40,0
Intelligent Electronic Device,81,982,490,0
Intelligent Electronic Device,82,978,440,0
Intelligent Electronic Device,83,982,0,0
Intelligent Electronic Device,84,982,10,0
Intelligent Electronic Device,85,932,0,0
Intelligent Electronic Device,86,980,0,0
Intelligent Electronic Device,87,980,136,0
Intelligent Electronic Device,88,982,504,0
Intelligent Electronic Device,89,934,200,0
Intelligent Electronic Device,90,982,0,0
Intelligent Electronic Device,91,980,136,0
Intelligent Electronic Device,92,982,504,0
Intelligent Electronic Device,93,932,400,0
Intelligent Electronic Device,94,980,8,0
Intelligent Electronic Device,95,934,2,0
Intelligent Electronic Device,96,982,0,0
Intelligent Electronic Device,97,980,586,0
Intelligent Electronic Device,98,982,344,0
Intelligent Electronic Device,99,978,0,0
Intelligent Electronic Device,100,982,20,0
Intelligent Electronic Device,101,982,40,0
Intelligent Electronic Device,102,978,40,0
Intelligent Electronic Device,103,934,0,0
Intelligent Electronic Device,104,982,0,0
Intelligent Electronic Device,105,980,40,0
Intelligent Electronic Device,106,980,0,0
Intelligent Electronic Device,107,980,40,0
Intelligent Electronic Device,108,982,610,0
