dataset,k_sec,attack_type,n_attack,auc
Intelligent Electronic Device,0.5,ALL attacks,116308,0.9757
Intelligent Electronic Device,0.5,address scan,1474,0.9922
Intelligent Electronic Device,0.5,function code scan,5480,0.996
Intelligent Electronic Device,0.5,device ID attack,1016,0.9575
Intelligent Electronic Device,0.5,naive sensor read,13184,0.8508
Intelligent Electronic Device,0.5,sporadic sensor injection,8600,0.9823
Intelligent Electronic Device,0.5,force listen mode,148,0.6953
Intelligent Electronic Device,0.5,restart communication,1598,0.6477
Intelligent Electronic Device,0.5,data flood attack,84808,0.9997
Intelligent Electronic Device,1.0,ALL attacks,116308,0.9775
Intelligent Electronic Device,1.0,address scan,1474,0.9905
Intelligent Electronic Device,1.0,function code scan,5480,0.994
Intelligent Electronic Device,1.0,device ID attack,1016,0.9511
Intelligent Electronic Device,1.0,naive sensor read,13184,0.8554
Intelligent Electronic Device,1.0,sporadic sensor injection,8600,0.9851
Intelligent Electronic Device,1.0,force listen mode,148,0.7425
Intelligent Electronic Device,1.0,restart communication,1598,0.7367
Intelligent Electronic Device,1.0,data flood attack,84808,0.9997
Intelligent Electronic Device,2.0,ALL attacks,116308,0.9794
Intelligent Electronic Device,2.0,address scan,1474,0.9826
Intelligent Electronic Device,2.0,function code scan,5480,0.989
Intelligent Electronic Device,2.0,device ID attack,1016,0.9166
Intelligent Electronic Device,2.0,naive sensor read,13184,0.8878
Intelligent Electronic Device,2.0,sporadic sensor injection,8600,0.9798
Intelligent Electronic Device,2.0,force listen mode,148,0.7944
Intelligent Electronic Device,2.0,restart communication,1598,0.6821
Intelligent Electronic Device,2.0,data flood attack,84808,0.9997
Intelligent Electronic Device,4.0,ALL attacks,116308,0.9778
Intelligent Electronic Device,4.0,address scan,1474,0.9677
Intelligent Electronic Device,4.0,function code scan,5480,0.9775
Intelligent Electronic Device,4.0,device ID attack,1016,0.8536
Intelligent Electronic Device,4.0,naive sensor read,13184,0.8849
Intelligent Electronic Device,4.0,sporadic sensor injection,8600,0.9624
Intelligent Electronic Device,4.0,force listen mode,148,0.7926
Intelligent Electronic Device,4.0,restart communication,1598,0.7773
Intelligent Electronic Device,4.0,data flood attack,84808,0.9996
Intelligent Electronic Device,8.0,ALL attacks,116308,0.9742
