architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,10,32,0.0005,,0.9238518822338149,0.9474472895525528,0.9014031665040895,0.9256583139879166,2.548926591873169,elu,0.1
vae,20,32,0.0005,,0.9228163809914811,0.9473434660063746,0.8995272754558415,0.9247163144284072,1.877521276473999,leaky_relu,0.5
vae,20,32,0.0005,,0.9215434414016339,0.9472155475165694,0.8972261824366574,0.923560491536181,2.019665479660034,relu,0.5
vae,10,64,0.001,,0.9190859349855166,0.9469676871650661,0.8927990795627924,0.9213358160380295,0.5986261367797852,relu,0.1
vae,20,32,0.001,,0.9183618257475232,0.9468944264385527,0.8914984617693404,0.9206819881948392,2.1563239097595215,elu,0.5
vae,10,32,0.0005,,0.9183478910618124,0.9468930155946973,0.8914734498886971,0.9206694134417711,1.052701473236084,elu,0.5
vae,20,32,0.0005,,0.9180970053090047,0.9468676075804694,0.8910232360371176,0.9204430604776316,1.9407143592834473,elu,0.5
vae,10,32,0.001,,0.9179854631682045,0.9468563073242058,0.8908231409919712,0.9203424546430858,1.1576588153839111,elu,0.5
vae,10,32,0.001,,0.9179017914679727,0.9468478289771065,0.8906730697081113,0.9202669984376083,0.9706830978393555,leaky_relu,0.5
vae,20,64,0.001,,0.8777501537145455,0.9426118910228806,0.8212400890422951,0.8851446104020971,1.0967979431152344,leaky_relu,0.1
vae,10,64,0.0005,,0.8748174057545666,0.9422888157514868,0.8163627723168505,0.8826581020918661,0.5676214694976807,leaky_relu,0.1
vae,20,32,0.001,,0.866477656271095,0.9413593827921031,0.8026312498436757,0.8756410458539998,2.0038633346557617,relu,0.1
lstm,20,32,0.0005,16.0,0.8622227040505197,0.9408789778776766,0.7957029589054802,0.872090790322737,5.446030855178833,,
lstm,20,32,0.001,32.0,0.8606169170432494,0.9406965705470511,0.7931017233185763,0.8707560725994353,6.138715028762817,,
vae,10,64,0.0005,,0.8518447610972841,0.939689244229899,0.7790200345163953,0.8635131084455981,0.6017143726348877,elu,0.1
vae,20,64,0.001,,0.8382936919734895,0.9380961228787316,0.7576849003276557,0.8524790384317824,1.140265703201294,elu,1.0
vae,20,32,0.0005,,0.8334838485585273,0.9375195349127962,0.7502313598959506,0.8486058454153766,1.9255952835083008,leaky_relu,0.1
lstm,20,32,0.0005,32.0,0.8315357316818593,0.9372843069586497,0.7472299342187539,0.8470433430235933,7.725616455078125,,
vae,20,32,0.001,,0.83072209456166,0.9371857717445953,0.7459793401865886,0.8463918124960502,1.9462230205535889,elu,0.1
vae,20,64,0.001,,0.827783595113438,0.936828466691948,0.7414772016707937,0.844043894409458,1.0572655200958252,relu,1.0
lstm,10,32,0.001,32.0,0.8274234319791071,0.9367845171083423,0.7409269402966409,0.8437566656617721,3.861020803451538,,
lstm,20,32,0.001,16.0,0.8253071046814227,0.9365255771123742,0.7377004076936545,0.8420713024820341,5.648121118545532,,
lstm,20,64,0.001,32.0,0.8239908115527915,0.936363925763219,0.73569945724219,0.8410251132202001,3.217315912246704,,
lstm,10,64,0.001,32.0,0.8131184619734239,0.9350108911212979,0.7193416873014682,0.8324427975457359,1.9295017719268799,,
vae,20,64,0.0005,,0.8098714332289112,0.9346005365438723,0.7145143943373102,0.8298996335058259,1.037156581878662,leaky_relu,1.0
lstm,10,32,0.001,16.0,0.8072338793311645,0.9342650443932917,0.7106125409569546,0.8278404103411992,3.64288067817688,,
lstm,20,64,0.0005,32.0,0.8018038588880009,0.9335681765311887,0.7026337510317401,0.8236192868762222,3.239333152770996,,
vae,10,64,0.0005,,0.8010510081681613,0.9334708955968982,0.7015332282834347,0.8230359606116235,0.7181568145751953,relu,1.0
lstm,10,32,0.0005,32.0,0.7966002092619932,0.9328924399086881,0.6950551511968185,0.8195967603905218,4.022765636444092,,
lstm,10,32,0.0005,16.0,0.7893644018917984,0.9319396683803752,0.6846251969685601,0.8140391766116678,2.6791458129882812,,
lstm,10,64,0.0005,32.0,0.7873360679415333,0.9316698000341822,0.6817238188139366,0.8124886056009714,2.9219048023223877,,
vae,10,64,0.001,,0.7871959322817357,0.9316511095155059,0.6815237237687902,0.8123815949668359,0.7300839424133301,relu,1.0
lstm,20,64,0.001,16.0,0.7861789793262975,0.9315152968584056,0.6800730346914785,0.8116054779391476,3.6577229499816895,,
lstm,10,64,0.0005,16.0,0.7838229329625123,0.9311994493202547,0.6767214426852755,0.8098104190382494,1.8056037425994873,,
lstm,20,64,0.0005,16.0,0.782729724243918,0.9310523229745111,0.6751707060853905,0.808978935788809,3.4171981811523438,,
lstm,10,64,0.001,16.0,0.7826238255422805,0.9310380515403457,0.6750206348015307,0.8088984381240582,1.474353313446045,,
