architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,20,64,0.001,,0.9248716274185906,0.9475493282955499,0.9032540456716941,0.9265875410497897,2.7305819988250732,elu,0.2
vae,10,32,0.0005,,0.9242517425174251,0.9474873249796412,0.9021285110427453,0.9260224954220816,1.2059855461120605,elu,0.1
vae,10,64,0.001,,0.9147547340528663,0.9465279263856196,0.8850453965633676,0.9174362340185237,0.7726929187774658,relu,0.2
vae,20,64,0.001,,0.9137297521088857,0.9464233067996033,0.8832195292764063,0.9165173109464944,1.3660290241241455,relu,0.2
vae,10,32,0.001,,0.9063293777436204,0.9456616287919974,0.8701383156999575,0.9099261584166362,1.1147491931915283,leaky_relu,0.1
vae,10,64,0.0005,,0.902956894411561,0.9453107901072445,0.8642355118681374,0.9069472627853995,0.6223554611206055,leaky_relu,0.05
vae,10,32,0.001,,0.8982639390082275,0.9448186385469001,0.8560816387784197,0.9028271568615204,1.3453950881958008,elu,0.1
vae,20,64,0.0005,,0.8974826993027195,0.9447362600906779,0.8547309972236813,0.9021440785193451,1.3459017276763916,leaky_relu,0.2
lstm,20,32,0.001,32.0,0.8758869995983398,0.9424068685355383,0.8181386158425252,0.8835637921707588,9.89805793762207,,
vae,20,32,0.0005,,0.874968175910169,0.9423054721773263,0.8166128911232836,0.882785688283357,2.1779019832611084,elu,0.1
vae,10,64,0.0005,,0.8706401409682148,0.9418252721029043,0.8094594932592981,0.8791335337528238,0.7100059986114502,elu,0.05
lstm,20,32,0.001,16.0,0.8649605926646929,0.9411885848779052,0.8001550736599885,0.8743729586012609,8.565662622451782,,
vae,10,64,0.001,,0.8427770043967858,0.9386282696794793,0.7646882269077812,0.8561094050151171,0.6167747974395752,relu,0.05
vae,10,64,0.0005,,0.8397064717181907,0.9382643607164917,0.7598859458242665,0.8536209231242643,0.7164242267608643,relu,0.2
vae,20,32,0.001,,0.8353608633532619,0.9377452507007162,0.753132738050574,0.8501147103645954,2.242833137512207,relu,0.05
vae,20,32,0.0005,,0.8294668748605845,0.9370334204806754,0.7440534253770541,0.8453878888793374,2.474299669265747,leaky_relu,0.1
vae,20,32,0.0005,,0.8283888253188579,0.9369022442473407,0.742402641254596,0.8445268320471608,2.179409980773926,leaky_relu,0.05
vae,20,64,0.001,,0.8273579239933518,0.9367765197039661,0.7408268927740677,0.8437044360980062,1.3387844562530518,leaky_relu,0.05
vae,20,32,0.0005,,0.8261118800945151,0.9366241836281783,0.7389259898451764,0.8427117131719959,2.5962488651275635,relu,0.1
vae,20,32,0.001,,0.8259641468803312,0.936606095201852,0.7387008829193867,0.8425941082778536,2.2040233612060547,elu,0.1
vae,20,32,0.001,,0.82171325923431,0.9360831334932055,0.7322478177134139,0.8392186091362601,2.2374181747436523,elu,0.05
lstm,10,32,0.0005,32.0,0.8211673195456524,0.9360156199987196,0.7314224256521847,0.8387862730466334,5.23321533203125,,
lstm,10,32,0.001,32.0,0.8127324405729881,0.9349622592399792,0.7187664140466722,0.8321399824352044,5.802356958389282,,
vae,10,32,0.0005,,0.811741062583147,0.934837174430355,0.7172907130887172,0.8313628800021688,1.3288846015930176,elu,0.05
lstm,20,64,0.001,16.0,0.8036648095638421,0.9338079470198676,0.7053600460218604,0.8250631860127692,4.090731859207153,,
lstm,10,64,0.001,16.0,0.8010852491789233,0.9334753236380579,0.7015832520447213,0.8230624813095987,3.365098476409912,,
lstm,10,32,0.0005,16.0,0.7999714142785679,0.9333311099252934,0.6999574798029063,0.8222002715519608,6.815656423568726,,
lstm,10,32,0.001,16.0,0.7951323115779806,0.9327004006329327,0.6929291413421376,0.8184659784840257,4.408993244171143,,
lstm,20,64,0.0005,32.0,0.7939207630649008,0.9325414234130868,0.6911783096971061,0.8175339614239352,5.01844048500061,,
lstm,20,64,0.0005,16.0,0.7907418876294451,0.9321222410865875,0.6866011355393812,0.8150940163175681,6.031446933746338,,
lstm,10,64,0.001,32.0,0.7901668635983746,0.9320460957949485,0.6857757434781522,0.8146535000668673,2.766080856323242,,
lstm,10,64,0.0005,32.0,0.788543395137436,0.9318305824580548,0.6834496385783247,0.813411171630449,3.442302703857422,,
lstm,20,32,0.0005,16.0,0.7833647297493117,0.9311378276895518,0.6760711337885495,0.8094618047849007,8.173331022262573,,
lstm,10,64,0.0005,16.0,0.7825179084133291,0.9310237741968876,0.6748705635176709,0.8088179348799127,2.5856680870056152,,
lstm,20,32,0.0005,32.0,0.7803425383866703,0.9307297803035554,0.6717941021985443,0.8071663836468675,9.306958198547363,,
lstm,20,64,0.001,32.0,0.7712571344943656,0.9294860488906135,0.6590630549511017,0.8003063845714617,4.931914567947388,,
