epochs,batch_size,learning_rate,activation,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s
10,128,0.01,elu,0.9418762917779906,0.9492214291157568,0.9346439558790426,0.9423192022829586,35.26982831954956
20,64,0.0005,elu,0.930418609391322,0.9481008385907521,0.9133838573322328,0.9316696490574129,133.02545475959778
10,64,0.01,relu,0.9251056202790936,0.9475727136824988,0.9036792476426303,0.9268009828239284,68.74956178665161
20,32,0.0005,gelu,0.9226505158343171,0.947326816157677,0.8992271328881218,0.9245655740455614,280.4123215675354
10,128,0.0005,elu,0.9220695853126204,0.947268458677359,0.898176633901103,0.9240379376937337,36.15100979804993
10,32,0.01,leaky_relu,0.8894032989854364,0.943876691560447,0.84087441534729,0.8951256044289767,93.46674466133118
10,128,0.0005,relu,0.8661102557869432,0.9413180683986496,0.8020309647082364,0.8753337091366304,27.797175407409668
20,32,0.01,elu,0.8552574171029669,0.9400833258400024,0.7844726244966359,0.8663212472440222,175.3744080066681
10,32,0.0005,relu,0.8497842317966984,0.9394499303325862,0.7757434781521223,0.8618234046512396,89.99288511276245
20,64,0.001,leaky_relu,0.8372962568029801,0.9379770400248216,0.7561341637277706,0.8516740196604826,141.94780111312866
20,32,0.01,relu,0.8338079033266199,0.9375585681264447,0.7507315975088167,0.8488661029444573,165.75760316848755
10,64,0.0005,leaky_relu,0.8089428587641151,0.934482645603225,0.7131387409019284,0.8291739966957706,71.12817454338074
