model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
phi4-mini,address scan,1,1,"The packet flow rate exceeds normal thresholds, indicating potential malicious behavior or misconfiguration.
Risk Score: 7/10",7.0,True,True,8.97,257.0,24.0,,2026-08-15T22:27:06
phi4-mini,address scan,1,2,"The packet flow rate is significantly higher than normal, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,2.27,257.0,26.0,,2026-08-15T22:27:08
phi4-mini,address scan,1,3,"The packet flow rate exceeds normal levels, indicating potential malicious traffic or misconfiguration.
Risk Score: 7/10",7.0,True,True,2.11,257.0,24.0,,2026-08-15T22:27:10
phi4-mini,function code scan,2,1,"The high packet flow rate (38 packets/s) significantly exceeds normal levels, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,4.87,256.0,31.0,,2026-08-15T22:27:15
phi4-mini,function code scan,2,2,"The high packet flow rate (38 packets/s) significantly exceeds normal levels, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,2.69,256.0,31.0,,2026-08-15T22:27:18
phi4-mini,function code scan,2,3,"The high packet flow rate (38 packets/s) significantly exceeds normal levels, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,2.9,256.0,31.0,,2026-08-15T22:27:21
phi4-mini,device identification attack,3,1,"The packet flow rate is significantly lower than expected, indicating potential network congestion or misconfiguration rather than an attack.
Risk Score: 2/10",2.0,True,True,4.44,228.0,30.0,,2026-08-15T22:27:25
phi4-mini,device identification attack,3,2,"The packet flow rate is significantly lower than expected, indicating potential inactivity or misconfiguration rather than malicious intent.
Risk Score: 2/10",2.0,True,True,2.56,228.0,29.0,,2026-08-15T22:27:28
phi4-mini,device identification attack,3,3,"The packet flow rate is significantly lower than expected, indicating potential network issues or reduced device communication rather than an intrusion attempt.

Risk Score: 1/10",1.0,True,True,2.81,228.0,32.0,,2026-08-15T22:27:30
phi4-mini,naive sensor read,4,1,"The observed packet flow rate is significantly higher than normal, indicating potential malicious behavior or misconfiguration.
Risk Score: 8/10",8.0,True,True,8.09,416.0,27.0,,2026-08-15T22:27:39
phi4-mini,naive sensor read,4,2,"The packet flow rate is significantly higher than normal, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,2.26,416.0,26.0,,2026-08-15T22:27:41
phi4-mini,naive sensor read,4,3,"The packet flow rate is significantly higher than normal, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,2.32,416.0,26.0,,2026-08-15T22:27:43
phi4-mini,sporadic sensor measurement injection,5,1,"The packet flow rate is significantly higher than normal, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,4.88,252.0,26.0,,2026-08-15T22:27:48
phi4-mini,sporadic sensor measurement injection,5,2,"The high packet flow rate (70 pps) significantly exceeds normal levels, indicating potential malicious traffic or misconfiguration.
Risk Score: 8/10",8.0,True,True,2.72,252.0,31.0,,2026-08-15T22:27:51
phi4-mini,sporadic sensor measurement injection,5,3,"The high flow rate (70 packets/s) compared with normal levels (>15 packets/s). Function Code and PDU suggest legitimate Modbus traffic, but elevated packet frequency may indicate a Denial-of-Service attack or misconfiguration. 

Risk Score: 7/10",7.0,True,True,4.51,252.0,54.0,,2026-08-15T22:27:55
phi4-mini,force listen mode,6,1,"The packet flow rate is slightly above normal, but not significantly so; no immediate threat detected.
Risk Score: 2/10",2.0,True,True,4.36,228.0,27.0,,2026-08-15T22:28:00
