dataset,architecture,fold,n_train_normal,n_test_total,n_test_normal,n_test_attack,fold_time_s,threshold,precision_attack,recall_attack,f1_attack,f1_weighted,accuracy
Intelligent Electronic Device,linear32_relu,1,178100,52518,44508,8010,1461.2545919418335,9.277842618757858e-05,0.7466797300239495,0.8563046192259676,0.7977436613165853,0.9355962723857871,0.9337750866369625
Intelligent Electronic Device,linear9_relu,1,178100,52518,44508,8010,499.52034759521484,8.660850471642322e-05,0.7651451409339504,0.9082397003745318,0.830574266468775,0.945418694918572,0.9434860428805362
Intelligent Electronic Device,vae_best,1,178100,52518,44508,8010,49.003151655197144,0.05975795965641732,0.7389364948937669,0.785892634207241,0.7616915723879243,0.925936307245703,0.924997143836399
Intelligent Electronic Device,linear32_relu,2,178166,52518,44442,8076,314.34887862205505,3.7043573684059083e-05,0.7613252197430697,0.836552748885587,0.7971681415929204,0.9357811974182751,0.9345367302639095
Intelligent Electronic Device,linear9_relu,2,178166,52518,44442,8076,295.5118234157562,3.0968411920184735e-05,0.7370318678762503,0.7846706290242694,0.7601055535564352,0.9248028755266772,0.9238356373053048
Intelligent Electronic Device,vae_best,2,178166,52518,44442,8076,49.86525273323059,0.0529868183657527,0.7514181983208532,0.8200842000990589,0.784251036116045,0.9318396877636567,0.9306142655851327
Intelligent Electronic Device,linear32_relu,3,178029,52518,44579,7939,317.19773602485657,0.00013390180247370155,0.770966412528333,0.9425620355208465,0.8481722867667895,0.9510273772805647,0.9489889180852279
Intelligent Electronic Device,linear9_relu,3,178029,52518,44579,7939,290.61924624443054,5.807134511996992e-05,0.756440022111664,0.8618213880841415,0.805699481865285,0.9388157000127397,0.9371644007768765
Intelligent Electronic Device,vae_best,3,178029,52518,44579,7939,49.142048597335815,0.05812785401940349,0.7423688862698881,0.7934248645925179,0.7670482221139795,0.9281352777211828,0.9271487870825241
Intelligent Electronic Device,linear32_relu,4,177990,52518,44618,7900,317.86855721473694,6.193389563122763e-05,0.723583180987203,0.7515189873417721,0.7372865569698851,0.9200618536105648,0.9194371453596862
Intelligent Electronic Device,linear9_relu,4,177990,52518,44618,7900,289.6235270500183,1.588932709637447e-05,0.7471184877823882,0.8205063291139241,0.7820945945945946,0.9325317886378577,0.9312235804866903
Intelligent Electronic Device,vae_best,4,177990,52518,44618,7900,48.94547128677368,0.05468929838389149,0.7526652452025586,0.8489873417721518,0.7979299268336209,0.9368917844971725,0.9353174149815301
Intelligent Electronic Device,linear32_relu,5,178147,52517,44461,8056,311.0936472415924,7.810171882738348e-05,0.7378525716994548,0.7728401191658392,0.7549411907360252,0.9237596732704473,0.9230344459889179
Intelligent Electronic Device,linear9_relu,5,178147,52517,44461,8056,290.3317885398865,5.4777836339780986e-05,0.7457044673539519,0.8350297914597815,0.7878432980031621,0.93258356633116,0.931012814898033
Intelligent Electronic Device,vae_best,5,178147,52517,44461,8056,49.074201345443726,0.050387710332870476,0.7531886328037593,0.8356504468718967,0.7922796281040367,0.9341912639274363,0.9327836700496982
