dataset,architecture,fold,n_train_normal,n_test_total,n_test_normal,n_test_attack,fold_time_s,threshold,precision_attack,recall_attack,f1_attack,f1_weighted,accuracy
Water Bottle Factory,linear32_relu,1,133518,37297,33378,3919,300.5604729652405,0.007908967556431886,0.6103479853479854,0.680275580505231,0.6434174007481598,0.9226492172127878,0.9207711075957852
Water Bottle Factory,linear9_relu,1,133518,37297,33378,3919,745.2001819610596,0.005296151852235197,0.608595725120662,0.6756825720847155,0.6403869407496977,0.9220846415825261,0.9202616832453012
Water Bottle Factory,vae_best,1,133518,37297,33378,3919,135.9719042778015,0.09558148458600038,0.5793103448275863,0.5787190609849452,0.5790145519530253,0.9115547317688167,0.9115746574791538
Water Bottle Factory,linear32_relu,2,133473,37297,33423,3874,860.10187458992,0.0037170676980167626,0.6119402985074627,0.6879194630872483,0.6477093206951027,0.9242625473273357,0.9222725688393169
Water Bottle Factory,linear9_relu,2,133473,37297,33423,3874,584.5044348239899,0.0008232417865656316,0.630325240494732,0.710376871450697,0.6679611650485436,0.9285609604202198,0.9266428935303107
Water Bottle Factory,vae_best,2,133473,37297,33423,3874,82.6834168434143,0.12344723492860779,0.5714993804213135,0.5952503871966959,0.5831331394613731,0.9123945022195468,0.911601469287074
Water Bottle Factory,linear32_relu,3,133529,37296,33367,3929,739.6513366699219,0.006622895970940585,0.6149609912804038,0.6821074064647493,0.6467961867986002,0.9232972229234044,0.921519734019734
Water Bottle Factory,linear9_relu,3,133529,37296,33367,3929,529.8041348457336,0.007744468282908198,0.6125284738041002,0.6843980656655637,0.6464719317225628,0.9230550008185616,0.9211443586443586
Water Bottle Factory,vae_best,3,133529,37296,33367,3929,65.83949208259583,0.07231174707412714,0.5948033707865169,0.6467294476966149,0.6196805267650286,0.9179045432942047,0.9163717288717289
Water Bottle Factory,linear32_relu,4,133585,37296,33311,3985,628.0222296714783,0.0038236407563090324,0.6293222683264177,0.685069008782936,0.656013456686291,0.9246591684796198,0.9232357357357357
Water Bottle Factory,linear9_relu,4,133585,37296,33311,3985,327.6939015388489,0.004869262408465146,0.6294570030295968,0.6777917189460477,0.652730787820203,0.9241876201721886,0.922940797940798
Water Bottle Factory,vae_best,4,133585,37296,33311,3985,48.29418611526489,0.12839346826076461,0.5998518884226117,0.6097867001254705,0.6047784967645595,0.9151508895202765,0.9148434148434148
Water Bottle Factory,linear32_relu,5,133479,37296,33417,3879,440.3245601654053,0.0030039876233786344,0.6102974828375286,0.6875483372003094,0.6466238331919021,0.9238783513314374,0.9218414843414844
Water Bottle Factory,linear9_relu,5,133479,37296,33417,3879,493.3659210205078,0.00760308220051229,0.6049096804075961,0.6733694251095643,0.6373063315847262,0.9221574057794675,0.9202863577863578
Water Bottle Factory,vae_best,5,133479,37296,33417,3879,44.62707781791687,0.11862288340926161,0.5860281411997038,0.6120134055168858,0.5987389659520808,0.9154977311661682,0.9146825396825397
