architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,20,64,0.001,,0.9391153512575889,0.9489089475067917,0.9295218473688729,0.9397310270903851,0.9172391891479492,leaky_relu,0.05
vae,20,32,0.0005,,0.9363015783294926,0.9486343612334802,0.9242853463816637,0.9371087075442014,1.800299882888794,relu,0.1
vae,10,32,0.001,,0.9362553265501348,0.9486298352277733,0.9241995021031848,0.9370657088721519,0.8737077713012695,leaky_relu,0.1
vae,20,32,0.001,,0.9338446788111218,0.9483933787731256,0.9197355996222851,0.9348293161497468,1.8111183643341064,relu,0.05
vae,20,32,0.0005,,0.9299741941127586,0.9480114143035492,0.9126105245085415,0.9312576907444928,1.7717125415802002,elu,0.1
vae,10,32,0.001,,0.9288028724056397,0.9478952542675843,0.9104644175465705,0.9301813840098744,0.9055747985839844,elu,0.1
vae,20,64,0.001,,0.9274409224428953,0.9477598566308244,0.9079749334706841,0.928932551859191,0.9756884574890137,elu,0.2
vae,20,32,0.0005,,0.9268763433785148,0.9477036239684248,0.9069448021289381,0.9284156917531257,1.7321631908416748,leaky_relu,0.05
vae,20,32,0.001,,0.9259340562848487,0.9476096333572969,0.9052279165593613,0.9275541224788785,1.7703149318695068,elu,0.1
vae,20,32,0.0005,,0.9253206817782463,0.9475483580746739,0.9041119409391364,0.9269940099055717,1.7361490726470947,leaky_relu,0.1
vae,10,64,0.001,,0.9233815957399991,0.9473541629040997,0.900592325521504,0.9252270103275877,0.47734737396240234,relu,0.05
vae,20,64,0.001,,0.9222907488986785,0.9472445932494797,0.8986179071164907,0.9242354313626302,0.9390830993652344,relu,0.2
vae,20,32,0.001,,0.9200547388866817,0.9470192657215558,0.8945832260279852,0.9222083826831186,1.7766849994659424,elu,0.05
vae,10,64,0.0005,,0.9158911636975982,0.9465970504717414,0.8871147738003262,0.918453280558745,0.47618627548217773,leaky_relu,0.05
vae,20,64,0.0005,,0.9147850774076209,0.9464843032862126,0.8851403553953129,0.9174598899697648,0.9135730266571045,leaky_relu,0.2
vae,10,32,0.0005,,0.9139660836366865,0.946400661947228,0.8836810026611727,0.9167254597659958,0.9084296226501465,elu,0.1
vae,10,32,0.0005,,0.9117437722419929,0.946173021881636,0.879732165851146,0.9147373696174305,0.9063272476196289,elu,0.05
vae,10,64,0.001,,0.911404796867352,0.9461382113821138,0.8791312559017942,0.9144347285750349,0.4843893051147461,relu,0.2
vae,10,64,0.0005,,0.9110171377698643,0.9460983727810651,0.8784445016739635,0.9140888183565661,0.5002739429473877,elu,0.05
vae,10,64,0.0005,,0.8886062147919317,0.9437421596062916,0.8395570435230492,0.894433273357567,0.4842855930328369,relu,0.2
lstm,20,32,0.0005,32.0,0.8452206750059004,0.938863255033557,0.768563825221049,0.8580910348387496,8.025969505310059,,
lstm,20,32,0.001,32.0,0.8446753246753247,0.9387990762124712,0.7677053824362606,0.8576470522121754,5.397005081176758,,
lstm,20,32,0.001,16.0,0.838532022978683,0.93807095814744,0.7580908232466306,0.8526659253263368,5.404696941375732,,
lstm,10,64,0.001,32.0,0.7684252919855014,0.9290322580645162,0.6551635333505021,0.798173442042429,1.6278486251831055,,
lstm,20,32,0.0005,16.0,0.7681152122463367,0.9289890377588307,0.6547343119581079,0.7979409887016177,4.758033275604248,,
lstm,10,32,0.001,32.0,0.7669976311677839,0.9288330078125,0.6531891149454889,0.7971037492411523,3.64493465423584,,
lstm,20,64,0.001,32.0,0.7658157602663707,0.9286675639300135,0.6515580736543909,0.7962193016615337,3.9111502170562744,,
lstm,20,64,0.0005,32.0,0.7414343039407346,0.9251508537681346,0.6185938707185166,0.7781845648873714,3.8410532474517822,,
lstm,10,32,0.001,16.0,0.724438187601022,0.9225763612217796,0.5963602025924972,0.7658372868923883,2.6947312355041504,,
lstm,10,32,0.0005,32.0,0.7069767441860465,0.9198184568835098,0.5741265344664778,0.7533293895810996,3.3291585445404053,,
lstm,20,64,0.001,16.0,0.6541233426858117,0.9106924019607843,0.5103442355567002,0.7164490530241754,2.7888076305389404,,
lstm,20,64,0.0005,16.0,0.6463036741921204,0.9092324458975557,0.501330586316422,0.7111058407421126,2.9857566356658936,,
lstm,10,32,0.0005,16.0,0.5966844490334423,0.8992047026279392,0.44647609236844366,0.6777956415177155,3.6670029163360596,,
lstm,10,64,0.001,16.0,0.556099864250723,0.8898753305629014,0.40441239591381234,0.651233083914388,1.7953455448150635,,
lstm,10,64,0.0005,16.0,0.5364044271612324,0.8849190682984603,0.384839900420637,0.6385378783843376,1.316542387008667,,
lstm,10,64,0.0005,32.0,0.5358788676761027,0.8847826086956522,0.3843248347497639,0.6382007514677901,1.4996514320373535,,
