epochs,batch_size,learning_rate,activation,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s
10,128,0.01,elu,0.9416396279472204,0.949154020582592,0.9342432826852091,0.9420944615610213,36.31213068962097
20,64,0.001,leaky_relu,0.9411815624323739,0.9491096368715084,0.9333848399004206,0.9416648095674705,127.87233996391296
10,128,0.0005,elu,0.9363940698230512,0.9486434108527132,0.9244570349386213,0.9371947039091946,33.423794746398926
20,32,0.01,elu,0.928380568575058,0.9478533094812165,0.909691819040261,0.9297938522599277,177.91905617713928
10,128,0.0005,relu,0.9247538677918424,0.9474916689183104,0.9030818095973904,0.9264769171202123,35.224892139434814
10,64,0.0005,leaky_relu,0.9228601620288834,0.9473018168670343,0.8996480384582367,0.9247528075259138,72.04078221321106
10,32,0.01,leaky_relu,0.9201500772456411,0.9470288933309104,0.8947549145849429,0.9222946618632869,91.6804313659668
10,32,0.0005,relu,0.9164193648403243,0.9466508052708639,0.8880590608635934,0.9189282801969221,87.73162531852722
20,32,0.0005,gelu,0.9159872385678838,0.9466068321274842,0.8872864623572839,0.9185396489160379,333.2188014984131
20,32,0.01,relu,0.9126144546181882,0.9462623283251913,0.8812773628637651,0.9155154603574798,186.29898285865784
10,64,0.01,relu,0.9119857682899711,0.9461978589885567,0.8801613872435402,0.9149535245166001,72.02458143234253
20,64,0.0005,elu,0.910726212208914,0.9460684551341351,0.8779294360030904,0.9138293612314404,129.85260224342346
