architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,10,32,0.001,,0.9241138932315026,0.9474735265522769,0.9018783922363123,0.9258969192606478,0.9418237209320068,elu,0.1
vae,10,32,0.0005,,0.9229269293924466,0.9473545600589924,0.8997273705009879,0.9248168048611575,0.9755563735961914,elu,0.1
vae,20,64,0.001,,0.9226505158343171,0.947326816157677,0.8992271328881218,0.9245655740455614,1.059755802154541,elu,0.2
vae,10,64,0.0005,,0.9221387765581873,0.9472754127762831,0.8983016933043195,0.9241007552346825,0.5900325775146484,elu,0.05
vae,20,64,0.001,,0.9202536040844147,0.9470856053787919,0.89490007753683,0.9223917567066021,1.0359628200531006,relu,0.2
vae,10,64,0.001,,0.918932838895756,0.9469522065652947,0.892523948875716,0.921197515971097,0.5398023128509521,relu,0.2
vae,20,64,0.0005,,0.8951177786550862,0.944486100697048,0.8506540606788224,0.9000811091669407,0.9880681037902832,leaky_relu,0.2
vae,10,64,0.0005,,0.887180574700456,0.9436377477655286,0.8370976213701509,0.893209113999217,0.5488250255584717,relu,0.2
vae,20,32,0.0005,,0.8860584832563817,0.9435167132886892,0.8351967184412596,0.8922439260827276,1.7777540683746338,relu,0.1
vae,10,32,0.001,,0.870852777815135,0.9418489643937631,0.8098096595883044,0.8793124664842032,0.9687137603759766,leaky_relu,0.1
lstm,20,32,0.0005,32.0,0.8650986753176534,0.9412041530633254,0.8003801805857782,0.8744882746410476,7.462925434112549,,
vae,10,64,0.0005,,0.8564112343022147,0.9402159284624817,0.7863235036642405,0.8672734274764027,0.5417840480804443,leaky_relu,0.05
lstm,10,32,0.001,32.0,0.8505558293631236,0.9395396666969119,0.7769690603036442,0.8624556310719854,3.2990822792053223,,
vae,20,32,0.0005,,0.8493270838472713,0.9393966954676368,0.7750181336134664,0.8614491165688668,1.8497381210327148,elu,0.1
vae,10,32,0.0005,,0.8488537896237798,0.9393415263237749,0.7742677771941673,0.8610618329642787,1.018596887588501,elu,0.05
lstm,20,32,0.0005,16.0,0.8427132007332975,0.9386207320068779,0.764588179385208,0.856057601797264,4.943119049072266,,
vae,10,64,0.001,,0.839690436705362,0.9382624540597301,0.7598609339436232,0.8536079518961464,0.5333178043365479,relu,0.05
lstm,20,64,0.001,32.0,0.8365228718318252,0.9378845317258094,0.754933593456892,0.8510504880005516,4.058155059814453,,
vae,20,32,0.0005,,0.8353770182544527,0.9377471894366417,0.7531577499312173,0.8501277112403514,1.7852282524108887,leaky_relu,0.05
vae,20,32,0.001,,0.829711609495003,0.9370631572319124,0.7444286035867037,0.8455835125303572,1.8629331588745117,elu,0.05
lstm,20,32,0.001,32.0,0.8271122038444345,0.9367465114071449,0.740451714564418,0.8435085583406008,7.394742012023926,,
vae,20,32,0.0005,,0.824863185298193,0.9364711116760949,0.7370250869162852,0.8417182999289545,1.7038919925689697,leaky_relu,0.1
vae,20,32,0.001,,0.8239084452786843,0.9363537952114112,0.7355743978389735,0.8409597006988667,4.842548608779907,elu,0.1
lstm,20,64,0.0005,32.0,0.8218455321059721,0.9360994789502286,0.7324479127585604,0.8393233976794241,3.583364725112915,,
vae,20,64,0.001,,0.8213989920968037,0.9360442794983364,0.731772591981191,0.8389697047599379,1.0040435791015625,leaky_relu,0.05
lstm,10,64,0.001,32.0,0.8168648892396144,0.9354807475066972,0.7249443485655687,0.8353883798716057,2.1775014400482178,,
vae,20,32,0.001,,0.8106300997280145,0.9346966776648917,0.7156399289662589,0.8304930375951673,1.92372465133667,relu,0.05
lstm,10,64,0.001,16.0,0.7962378849572748,0.9328450969194074,0.6945299017033091,0.819317487546061,1.6951143741607666,,
lstm,10,32,0.001,16.0,0.794163267650945,0.9325732789152359,0.6915284760261124,0.8177204218116513,2.6896095275878906,,
lstm,10,32,0.0005,32.0,0.7918555291747608,0.9322694314562581,0.6882018959005528,0.8159478908743016,3.581251621246338,,
lstm,20,64,0.0005,16.0,0.7907941354379698,0.9321291549247954,0.6866761711813111,0.8151340552314172,2.6711957454681396,,
lstm,20,32,0.001,16.0,0.7901668635983746,0.9320460957949485,0.6857757434781522,0.8146535000668673,4.804181814193726,,
lstm,10,32,0.0005,16.0,0.7870732870082778,0.9316347469220246,0.681348640604287,0.812287952722136,2.6198806762695312,,
lstm,10,64,0.0005,16.0,0.7869506169272112,0.9316183764923204,0.6811735574397839,0.8121943030617756,1.7338318824768066,,
lstm,10,64,0.0005,32.0,0.7855117745761732,0.9314260231209907,0.6791225832270329,0.8110967102680848,2.7265841960906982,,
lstm,20,64,0.001,16.0,0.7853536449517526,0.9314048452405463,0.6788974763012431,0.8109761804124629,3.237607717514038,,
