architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,20,64,0.001,,0.9334728398291046,0.9483568075117371,0.9190488453944544,0.9344851729790548,2.7505648136138916,elu,0.2
vae,20,32,0.001,,0.9317030567685589,0.9481823837881077,0.9157867628122586,0.9328501779453868,2.1079089641571045,elu,0.05
vae,10,32,0.001,,0.9289904561772174,0.947913874743143,0.9108077946604859,0.9303536098348409,1.10805082321167,leaky_relu,0.1
vae,20,32,0.0005,,0.928521373510862,0.9478672985781991,0.9099493518756975,0.92992303316176,2.074676036834717,relu,0.1
vae,20,32,0.001,,0.926311169629142,0.9476472701149425,0.905914670787192,0.9278987707370437,2.403151273727417,elu,0.1
vae,20,32,0.0005,,0.9261226460647031,0.9476284584980237,0.9055712936732767,0.9277264500531367,2.3986072540283203,leaky_relu,0.1
vae,20,32,0.001,,0.9259340562848487,0.9476096333572969,0.9052279165593613,0.9275541224788785,2.066798686981201,relu,0.05
vae,10,64,0.001,,0.9255566779393034,0.9475719424460431,0.9045411623315306,0.9272094465366975,0.6419351100921631,relu,0.05
vae,20,64,0.001,,0.9253678893037558,0.9475530766462756,0.9041977852176153,0.927037098107461,1.2208638191223145,relu,0.2
vae,20,32,0.0005,,0.9223856928904942,0.9472541391477427,0.8987895956734484,0.9243216653956112,2.097842216491699,elu,0.1
vae,10,64,0.0005,,0.9220533157083058,0.9472207133804093,0.8981886857240965,0.9240198380558181,0.553680419921875,leaky_relu,0.05
vae,20,32,0.0005,,0.9216732049191166,0.9471824605906867,0.8975019314962658,0.9236748642019984,1.9875593185424805,leaky_relu,0.05
vae,10,32,0.001,,0.9206265166556364,0.9470769789397241,0.8956133573697314,0.9227260283750374,1.059293270111084,elu,0.1
vae,10,32,0.0005,,0.9148813484142826,0.9464941262848752,0.8853120439522706,0.9175462831215316,1.0520398616790771,elu,0.05
vae,20,64,0.0005,,0.9134837448925208,0.9463513389159842,0.8828225598763842,0.9162933674628717,2.478710651397705,leaky_relu,0.2
vae,10,64,0.0005,,0.9113563545745818,0.946133234777788,0.8790454116233153,0.9143914918288264,0.5842471122741699,elu,0.05
vae,10,32,0.0005,,0.9101438945070611,0.9460085200963141,0.8768993046613444,0.9133103836277076,1.3155696392059326,elu,0.1
vae,10,64,0.001,,0.9058055282225601,0.9455598095060229,0.8692591638767276,0.9094585855486923,0.5572600364685059,relu,0.2
vae,20,64,0.001,,0.9034022143529518,0.9453095684803002,0.8650527942312645,0.9073358088687392,1.0738039016723633,leaky_relu,0.05
vae,10,64,0.0005,,0.8779525753336697,0.9425842032696474,0.8216155893209718,0.8853119469254965,0.5528748035430908,relu,0.2
lstm,20,32,0.001,32.0,0.8533395828450903,0.9398100351022094,0.781440466992875,0.864736376276668,7.0960776805877686,,
lstm,20,32,0.001,16.0,0.8308721624850657,0.9371496334626994,0.7462443128165508,0.8465061603200912,5.726278066635132,,
lstm,20,32,0.0005,32.0,0.8028382676780034,0.9336444343273389,0.7041806163619195,0.8244151966806361,8.765804290771484,,
lstm,10,64,0.001,32.0,0.7414343039407346,0.9251508537681346,0.6185938707185166,0.7781845648873714,1.5819151401519775,,
lstm,20,32,0.0005,16.0,0.7309886917730055,0.9235810722244069,0.6048587861619024,0.7705752449274282,7.80376124382019,,
lstm,20,64,0.001,16.0,0.7182227810960914,0.9216081753395187,0.5883766846939652,0.7613651164658938,3.562403678894043,,
lstm,10,32,0.001,16.0,0.6976843225978174,0.9183015695067265,0.5625375568718345,0.7467422727655946,2.8355953693389893,,
lstm,10,32,0.0005,16.0,0.6844482684448269,0.9160788829710667,0.5463129882393338,0.7374384199366992,2.856311798095703,,
lstm,10,32,0.0005,32.0,0.6781932137454074,0.9150021869077125,0.538758691733196,0.7330726820649566,2.862844944000244,,
lstm,10,64,0.001,16.0,0.6320733616640573,0.9064955894145951,0.4851918619624002,0.7014504451117723,1.5243911743164062,,
lstm,20,64,0.001,32.0,0.6283920161471181,0.9057701632455147,0.4810713365954159,0.6989665226771753,4.241796016693115,,
lstm,20,64,0.0005,32.0,0.6046883020589745,0.900917743031951,0.4550605202163276,0.6831031917341632,4.318573474884033,,
lstm,20,64,0.0005,16.0,0.5906210392902408,0.8978805394990366,0.4400377714825307,0.6737905798407562,2.812499761581421,,
lstm,10,64,0.0005,32.0,0.5817971014492753,0.8959114443849313,0.43076658940681606,0.6679857176298377,1.7621822357177734,,
lstm,10,64,0.0005,16.0,0.533684967633661,0.8842105263157894,0.38217872778779294,0.6367943426026021,1.7980701923370361,,
lstm,10,32,0.001,32.0,0.4984041247237908,0.8744346327805298,0.3485277706240879,0.6143683770398257,3.1258459091186523,,
