architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,20,32,0.0005,,0.9319969880300158,0.9482221165530723,0.9163177780046973,0.9331220912131701,1.7467896938323975,leaky_relu,0.1
lstm,10,32,0.001,16.0,0.8416784004505773,0.9384576739512686,0.7629939752884713,0.855213762488911,2.611396074295044,,
lstm,10,64,0.001,32.0,0.8373236848800067,0.9379393325311887,0.7562034105994078,0.8516918422072668,1.6710679531097412,,
lstm,10,64,0.001,16.0,0.8341930729550479,0.9375637104994903,0.7513530072500766,0.8491712194927112,1.95320725440979,,
lstm,20,64,0.001,16.0,0.8337964275588319,0.9375159398112727,0.75074032472174,0.8488525249648179,2.942037582397461,,
vae,20,64,0.001,,0.8315436622919152,0.9372438524590164,0.7472684570611662,0.8470453001552756,0.9363415241241455,leaky_relu,0.05
lstm,10,32,0.0005,32.0,0.8313776742335994,0.9372237524822241,0.7470131726743592,0.8469123289007012,2.87984561920166,,
lstm,10,64,0.0005,32.0,0.81974175035868,0.935796645702306,0.7292964362299602,0.8376540176817541,2.2566609382629395,,
vae,20,64,0.001,,0.8078717792655711,0.9343031440638198,0.7115796997855611,0.828333143345064,1.0054690837860107,elu,0.2
lstm,20,64,0.0005,16.0,0.8078026723863077,0.934294334562521,0.7114775860308383,0.8282792300416587,2.9239964485168457,,
lstm,10,64,0.0005,16.0,0.7957958837134409,0.9327431198956833,0.6939140202185234,0.8189720134162288,1.5992839336395264,,
lstm,10,32,0.0005,16.0,0.79406590829131,0.9325161823440298,0.6914122332278158,0.8176406040235825,2.7977499961853027,,
vae,20,32,0.001,,0.791230751146115,0.9321423625536629,0.6873276830389053,0.8154637373385597,1.8362390995025635,relu,0.05
vae,10,64,0.0005,,0.7898793762871433,0.9319633435156901,0.6853875216991728,0.8144283475654952,0.49280881881713867,leaky_relu,0.05
vae,20,64,0.0005,,0.7844435250310302,0.931237721021611,0.677626876340243,0.8102777549659712,0.9318685531616211,leaky_relu,0.2
vae,20,32,0.0005,,0.783688677292486,0.9311362518445647,0.676554681915654,0.8097031658746663,1.8081512451171875,relu,0.1
vae,10,64,0.001,,0.774593338497289,0.9298998569384835,0.6637394056979475,0.8028132175536157,0.497495174407959,relu,0.05
vae,20,32,0.0005,,0.7734971374045801,0.9297491039426523,0.6622076993771061,0.8019869189968803,1.7486319541931152,leaky_relu,0.05
vae,20,64,0.001,,0.7712621359223301,0.9294405644754842,0.6590932298580618,0.8003048962167535,0.956773042678833,relu,0.2
vae,10,32,0.001,,0.7643966475412298,0.9284828139823397,0.6495966506688451,0.7951602591828888,0.9098072052001953,leaky_relu,0.1
vae,10,64,0.001,,0.7639139319629763,0.9284149013878744,0.6489329112631471,0.7947997812828106,0.49854063987731934,relu,0.2
vae,20,32,0.001,,0.7618674934529364,0.9281261459479281,0.6461247830082713,0.7932733518059177,1.7898693084716797,elu,0.1
vae,20,32,0.001,,0.7612708929378106,0.928041706439533,0.6453078729704891,0.7928288933773436,1.7933590412139893,elu,0.05
vae,10,32,0.001,,0.7585041200084514,0.9276485788113695,0.641529664045747,0.7907708709656749,0.9278833866119385,elu,0.1
lstm,20,64,0.0005,32.0,0.7576416576054126,0.9275255139772223,0.6403553558664352,0.7901304052462468,4.191237211227417,,
vae,20,32,0.0005,,0.7571536485873999,0.9274557702272559,0.6396916164607372,0.7897682318386181,1.7899458408355713,elu,0.1
lstm,10,32,0.001,32.0,0.7550847457627119,0.927159209157128,0.6368834882058614,0.7882345854895142,3.072659730911255,,
vae,10,64,0.0005,,0.7541420566409208,0.9270236056296076,0.6356070662718268,0.7875367346012079,0.49182915687561035,relu,0.2
vae,10,64,0.0005,,0.7508882747729965,0.9265532488945515,0.631216174818748,0.7851325663196701,0.5210192203521729,elu,0.05
vae,10,32,0.0005,,0.7498252332755844,0.9263987983477281,0.6297865822526294,0.784348613380965,0.9248573780059814,elu,0.1
vae,10,32,0.0005,,0.7433704020530368,0.9254526091586794,0.6211579699785561,0.7796041697189678,0.9259383678436279,elu,0.05
lstm,20,32,0.0005,16.0,0.740484429065744,0.925024864203198,0.6173287041764526,0.7774915414748906,4.762333154678345,,
lstm,20,32,0.001,16.0,0.7343610572633004,0.9241074885774027,0.6092617175533545,0.7730263133409969,4.856334924697876,,
lstm,20,32,0.0005,32.0,0.7301802914299828,0.923473371856942,0.6037986316756867,0.7699909117317044,5.6469056606292725,,
lstm,20,64,0.001,32.0,0.7293957741257877,0.9233536680744564,0.6027774941284592,0.769422502045927,3.942021369934082,,
lstm,20,32,0.001,32.0,0.7012724574531907,0.9189077368638808,0.5669866230981313,0.7492821267832876,6.505595684051514,,
