architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,20,64,0.001,,0.950098271945274,0.949977030269001,0.9502195445726539,0.9500919015661212,0.9279448986053467,leaky_relu,0.1
vae,20,32,0.001,,0.9452521988870939,0.9495131626397404,0.9410293066476054,0.9454956956008143,1.8273401260375977,relu,0.1
vae,20,32,0.0005,,0.8521836193665411,0.939688596221306,0.7795874604309201,0.8637873565086488,1.8065905570983887,relu,0.5
lstm,20,64,0.001,16.0,0.8487460815047022,0.9392888117953165,0.7741243745532523,0.8609696241951894,3.1820313930511475,,
lstm,20,64,0.0005,16.0,0.8465184104994532,0.9390281839109065,0.7706014500153171,0.8591500334095016,4.800175666809082,,
vae,20,32,0.001,,0.8455471666339218,0.938914168173035,0.7690697436944757,0.8583582725362047,2.738804817199707,elu,0.5
lstm,20,32,0.0005,16.0,0.843046804680468,0.9386195665789804,0.7651383641376494,0.8563242997042272,5.109538316726685,,
lstm,20,64,0.001,32.0,0.8385384311289321,0.9380844073793277,0.7580925150617788,0.852672430099756,3.0394577980041504,,
lstm,20,64,0.0005,32.0,0.8363039665025745,0.9378172588832487,0.7546206474012049,0.8508697840792327,3.1174685955047607,,
vae,20,32,0.0005,,0.8356121726822364,0.937734290615668,0.753548452976616,0.8503126532069217,1.735832929611206,leaky_relu,0.1
vae,20,32,0.0005,,0.8331678533942299,0.9374401532077881,0.7497702440518738,0.8483477862566723,1.7651002407073975,leaky_relu,0.5
lstm,10,32,0.0005,16.0,0.8305470260434437,0.9371230591556525,0.7457367507403247,0.8462472923231209,2.704294204711914,,
lstm,10,64,0.0005,32.0,0.8257729310000286,0.936540827559412,0.7384356172776473,0.8424374293693436,2.4300012588500977,,
lstm,10,64,0.001,32.0,0.8204863500802937,0.9358890488028261,0.7304196875319106,0.8382428069871471,2.4305193424224854,,
lstm,10,64,0.001,16.0,0.8109733183013904,0.9346971413340441,0.7161748187480854,0.8307569386871628,2.204409599304199,,
vae,10,64,0.001,,0.8005715452133089,0.9333650642551166,0.7008577555396712,0.8226598390296641,0.5027539730072021,relu,0.1
lstm,10,64,0.0005,16.0,0.8000466771690297,0.9332970323985843,0.7000919023792505,0.8222536295117603,1.5041801929473877,,
vae,10,32,0.001,,0.7942780090285513,0.9325440528634361,0.691718574491984,0.817803711726575,0.9521052837371826,elu,0.5
lstm,10,32,0.001,16.0,0.7855919692943608,0.9313917670120414,0.6792606964158072,0.811152777380013,2.6732358932495117,,
vae,10,64,0.0005,,0.7748853279323286,0.9299399485273091,0.6641478607168385,0.8030334613751434,0.5002501010894775,leaky_relu,0.1
vae,10,32,0.0005,,0.7743742550655542,0.9298697581222269,0.6634330644337793,0.8026480064180933,0.9408881664276123,elu,0.5
vae,10,32,0.0005,,0.7725455088033423,0.9296179258833669,0.6608802205657102,0.8012703009065558,0.9626791477203369,elu,0.1
lstm,20,32,0.001,16.0,0.7678758649612079,0.9289700659563673,0.6543959971408149,0.7977632477538408,5.25993013381958,,
vae,10,64,0.001,,0.7656943944304405,0.9286650167418838,0.6513836413764934,0.7961301825550693,0.504469633102417,relu,1.0
lstm,10,32,0.001,32.0,0.7644708780150792,0.9284932506384531,0.6496987644235679,0.7952157066922665,3.8808417320251465,,
vae,20,32,0.001,,0.7633193024654239,0.9283311393886208,0.6481160012253651,0.7943559514722647,1.8074560165405273,elu,0.1
lstm,10,32,0.0005,32.0,0.7608977255610785,0.9279888309207143,0.6447973041968753,0.7925510134372538,3.0926671028137207,,
vae,10,32,0.001,,0.7602254573951834,0.9278934589066294,0.6438782804043705,0.7920506479749403,0.916250467300415,leaky_relu,0.5
vae,20,64,0.001,,0.7479605503470108,0.9261269410523142,0.6272847952619218,0.7829752633032865,0.950218677520752,relu,1.0
vae,20,32,0.0005,,0.7464342313787639,0.9259035233630727,0.6252425201674665,0.7818528004824945,1.8626055717468262,elu,0.5
vae,10,64,0.0005,,0.7428326914848096,0.9253731343283582,0.6204431736954967,0.7792101475220917,0.5502557754516602,elu,0.1
vae,20,64,0.001,,0.7352561343090831,0.9242424242424242,0.6104360257326662,0.7736775630298852,1.0440728664398193,elu,1.0
vae,20,64,0.0005,,0.728492379980834,0.9232155449345765,0.6016031859491473,0.7687684206676645,0.9282326698303223,leaky_relu,1.0
lstm,20,32,0.0005,32.0,0.7219736515038528,0.9222098745832672,0.5931788011845196,0.7640630822510599,13.108234405517578,,
lstm,20,32,0.001,32.0,0.716269779345214,0.9213167402649538,0.5858776677218421,0.7599663044837422,6.543266773223877,,
vae,10,64,0.0005,,0.5540322013639879,0.8893905191873589,0.40232819360767896,0.6498967772622175,0.4896225929260254,relu,1.0
