architecture,epochs,batch_size,learning_rate,hidden_size,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s,activation,beta
vae,20,64,0.001,,0.9343213203098687,0.9484508968491926,0.9206065557030532,0.9352714609700903,1.0448079109191895,relu,0.2
lstm,20,64,0.0005,16.0,0.8630659516833434,0.9409353905496625,0.7970999693658736,0.8727889640786398,5.436425447463989,,
vae,20,64,0.001,,0.860861858867841,0.9406851470766251,0.7935259879505769,0.8709556003307858,1.0041921138763428,leaky_relu,0.05
vae,20,32,0.001,,0.8451582109666732,0.9388684423928638,0.7684570611661391,0.8580414594983622,1.9638519287109375,relu,0.05
lstm,10,32,0.0005,32.0,0.8435347372564456,0.938677179150241,0.76590421729807,0.8567207314166371,4.883893013000488,,
lstm,20,64,0.0005,32.0,0.8418414754329157,0.9384769916504488,0.7632492596752782,0.8553460103121289,4.806122064590454,,
lstm,10,32,0.001,16.0,0.8372908186341023,0.9379354021532615,0.7561523537220464,0.8516653311193226,4.169347763061523,,
lstm,10,64,0.0005,32.0,0.8208244940083711,0.9359309623430963,0.7309302563055243,0.8385103556968365,1.9789557456970215,,
vae,20,32,0.0005,,0.8105951072812446,0.9346492397972793,0.7156131930971101,0.8304609373982202,2.390500068664551,leaky_relu,0.1
vae,10,64,0.001,,0.8079408781336038,0.9343119512031638,0.7116818135402839,0.8283870544093052,1.2752482891082764,relu,0.05
lstm,10,64,0.0005,16.0,0.805587013967535,0.9340111776984715,0.70820994587971,0.8265528164332858,2.022585153579712,,
vae,20,32,0.0005,,0.805344176590183,0.933980059283212,0.7078525477381803,0.8263638494646502,1.8914473056793213,leaky_relu,0.05
lstm,20,32,0.0005,16.0,0.7995563857109502,0.933233410546396,0.6993771060961912,0.8218743816032066,9.627380132675171,,
vae,20,64,0.0005,,0.7989604928898881,0.9331559920878522,0.6985091391810477,0.8214137113064993,1.0203871726989746,leaky_relu,0.2
lstm,10,64,0.001,16.0,0.7970637264937268,0.9329088793044431,0.6957520678035332,0.8199492716860833,2.9919161796569824,,
lstm,20,32,0.001,16.0,0.7941719679868664,0.9325301204819277,0.6915654038599,0.8177221606036562,8.843695163726807,,
vae,20,32,0.0005,,0.7904843120534008,0.9320435476041883,0.6862554886143164,0.8148916586994117,2.1162993907928467,relu,0.1
lstm,10,32,0.0005,16.0,0.7841201336131721,0.931194270869901,0.6771673644439906,0.8100315370974992,6.822425365447998,,
vae,10,64,0.0005,,0.7825726632332919,0.9309859154929577,0.6749719187174512,0.8088544450867299,0.6613502502441406,leaky_relu,0.05
lstm,10,64,0.001,32.0,0.7791760655348451,0.9305260172976039,0.6701725722454814,0.8062770948475084,2.1929948329925537,,
lstm,20,64,0.001,16.0,0.7773252875954936,0.9302739238705087,0.6675686715000511,0.8048763207321807,4.178108215332031,,
vae,10,32,0.001,,0.7771071800208117,0.9302441454907823,0.6672623302358828,0.8047114105834448,0.9674074649810791,leaky_relu,0.1
vae,20,32,0.0005,,0.7712988409606882,0.9294456443484521,0.6591442867354232,0.8003324908200071,3.278592824935913,elu,0.1
lstm,20,64,0.001,32.0,0.7676912936664869,0.9289443155452436,0.654140712754008,0.7976249467487351,4.600375652313232,,
vae,20,64,0.001,,0.7614573923517013,0.9280681150910158,0.6455631573572961,0.7929678063810175,1.0946605205535889,elu,0.2
vae,10,64,0.001,,0.7589161788666948,0.92770728828563,0.6420912896967221,0.7910770443468468,0.5225160121917725,relu,0.2
vae,10,32,0.001,,0.7567404183291017,0.9273966513557564,0.6391299908097621,0.7894616806625624,0.9521162509918213,elu,0.1
lstm,10,32,0.001,32.0,0.7547455420665435,0.9271104499814057,0.6364239763096089,0.7879834125710203,5.347096920013428,,
lstm,20,32,0.0005,32.0,0.7510020648609256,0.9265697587292072,0.6313693454508322,0.785216526132568,7.511959791183472,,
vae,10,64,0.0005,,0.7490267639902677,0.9262825334737476,0.6287143878280405,0.7837602586447907,0.5402529239654541,relu,0.2
vae,20,32,0.001,,0.7488365019011407,0.9262547972006923,0.6284591034412336,0.7836201247547007,1.9345440864562988,elu,0.05
vae,10,32,0.0005,,0.7480367687344007,0.9261380765752185,0.6273869090166445,0.7830313542506913,2.4762401580810547,elu,0.1
vae,10,64,0.0005,,0.7477318394933934,0.9260935143288085,0.6269784539977535,0.7828069721006463,1.3723628520965576,elu,0.05
vae,10,32,0.0005,,0.7473504689974418,0.9260377358490566,0.6264678852241397,0.7825264254981057,2.2156283855438232,elu,0.05
vae,20,32,0.001,,0.7465106357042726,0.9259147263380707,0.6253446339221893,0.7819089528180927,1.9446666240692139,elu,0.1
lstm,20,32,0.001,32.0,0.7082064005527464,0.920032639738882,0.575666292249566,0.7542064194235251,11.249277114868164,,
