epochs,batch_size,learning_rate,activation,f1_attack,precision_attack,recall_attack,f1_weighted,trial_time_s
20,64,0.0005,elu,0.9595001391313147,0.950864878415643,0.9682936791585827,0.9591255365483692,141.76417231559753
10,32,0.01,leaky_relu,0.948057594434925,0.9497822188060466,0.946339221893189,0.9481515707057279,89.31441164016724
10,128,0.01,elu,0.9292445462591763,0.947949861907797,0.9112631471459206,0.9305877126487467,35.81562304496765
20,32,0.01,relu,0.924400512538898,0.9474671669793621,0.9024303073624017,0.9261555713331598,186.1854863166809
20,32,0.0005,gelu,0.8887447992651429,0.9437686481523985,0.8397835188399877,0.8945538658798495,305.40288043022156
20,64,0.001,leaky_relu,0.8634743444502777,0.9409816320385426,0.7977637087715715,0.8731292439638052,130.28281497955322
10,64,0.01,relu,0.8463242924859058,0.9390054148254185,0.7702951087511488,0.8589917121936217,72.56113862991333
10,64,0.0005,leaky_relu,0.8458063248870555,0.9389446140427388,0.7694781987133666,0.8585694466592301,63.2133686542511
10,128,0.0005,elu,0.8358428619947923,0.937761971294297,0.7539058511181456,0.8504983862656934,35.12817335128784
10,32,0.0005,relu,0.7998716190587343,0.9332743242323143,0.6998366179924436,0.8221181970404288,94.3260395526886
10,128,0.0005,relu,0.7425636635994008,0.9253333333333333,0.6200857755539672,0.7790130789234924,35.059237241744995
20,32,0.01,elu,0.6093718304144973,0.9019215372297839,0.4601245787807618,0.6862222314931855,182.27897024154663
